name,window,return,max_dd,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,exit_reasons
V14__pullback_buffer=0.02,1M,0.9410735531337129,-0.2039142158086017,7.358315644791565,4,0,0.75,0.1970686078070744,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14__pullback_buffer=0.02,3M,2.474115466939813,-0.20391421580860192,5.836406687794576,9,1,0.8888888888888888,0.1600849132969591,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14__pullback_buffer=0.02,6M,8.09314620662335,-0.24870433985515694,5.247333545507349,20,2,0.85,0.12851585428617895,0.1092337710713554,"{'warning_confirm_volume': 16, 'hard_swing96': 3, 'stop_loss': 1}"
V14__pullback_buffer=0.02,1Y,23.181386309033325,-0.2487043398551566,4.416371900328895,32,5,0.84375,0.11493221405440543,0.10307120850880638,"{'warning_confirm_volume': 25, 'hard_swing96': 6, 'stop_loss': 1}"
V14__late_max_age=384,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14__late_max_age=384,1M,1.0802374133146424,-0.2039142158086017,7.305654803181763,5,1,0.8,0.1790592447669372,0.13495284293160426,"{'warning_confirm_volume': 4, 'stop_loss': 1}"
V14__late_max_age=384,3M,2.6142718210391838,-0.20391421580860192,5.672974227116816,11,3,0.8181818181818182,0.13849602525684457,0.1070217926063883,"{'warning_confirm_volume': 9, 'hard_swing96': 1, 'stop_loss': 1}"
V14__late_max_age=384,6M,7.966202899850979,-0.24655341994276858,4.9887957648463095,23,5,0.782608695652174,0.11364831126546973,0.10633218300399427,"{'warning_confirm_volume': 17, 'hard_swing96': 5, 'stop_loss': 1}"
V14__late_max_age=384,1Y,22.843806216218802,-0.24655341994276858,4.26262372848128,35,8,0.8,0.10632642637494852,0.0998102340136185,"{'warning_confirm_volume': 26, 'hard_swing96': 8, 'stop_loss': 1}"
V14__hard_exit_mode=none,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14__hard_exit_mode=none,1M,0.9410735531337129,-0.2039142158086017,7.358315644791565,4,0,0.75,0.1970686078070744,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14__hard_exit_mode=none,3M,2.474115466939813,-0.20391421580860192,5.836406687794576,9,1,0.8888888888888888,0.1600849132969591,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14__hard_exit_mode=none,6M,6.086183529382622,-0.3062672645206158,4.3945576437164515,21,3,0.8095238095238095,0.11254761573178403,0.10633218300399427,"{'warning_confirm_volume': 17, 'stop_loss': 4}"
V14__hard_exit_mode=none,1Y,22.81731977456994,-0.3062672645206158,4.134061707303788,34,7,0.8529411764705882,0.10958142852086528,0.10307120850880638,"{'warning_confirm_volume': 29, 'opposite_cross': 1, 'stop_loss': 4}"
V14__hard_exit_bars=3,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14__hard_exit_bars=3,1M,0.9410735531337129,-0.2039142158086017,7.358315644791565,4,0,0.75,0.1970686078070744,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14__hard_exit_bars=3,3M,2.474115466939813,-0.20391421580860192,5.836406687794576,9,1,0.8888888888888888,0.1600849132969591,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14__hard_exit_bars=3,6M,6.086183529382622,-0.3062672645206158,4.3945576437164515,21,3,0.8095238095238095,0.11254761573178403,0.10633218300399427,"{'warning_confirm_volume': 17, 'stop_loss': 4}"
V14__hard_exit_bars=3,1Y,22.81731977456994,-0.3062672645206158,4.134061707303788,34,7,0.8529411764705882,0.10958142852086528,0.10307120850880638,"{'warning_confirm_volume': 29, 'opposite_cross': 1, 'stop_loss': 4}"
V14__stop_atr=8.0,1W,0.0,0.0,0.0,0,0,0.0,0.0,0.0,{}
V14__stop_atr=8.0,1M,0.9695990920307604,-0.19221513518093758,7.55531001860397,4,0,0.75,0.20042554210418204,0.1592930171152706,"{'warning_confirm_volume': 3, 'stop_loss': 1}"
V14__stop_atr=8.0,3M,2.525170212250747,-0.1922151351809377,5.919421089042785,9,1,0.8888888888888888,0.1615768840956736,0.13495284293160426,"{'warning_confirm_volume': 8, 'stop_loss': 1}"
V14__stop_atr=8.0,6M,7.745161665915644,-0.24655341994276858,5.084550128143648,21,3,0.8095238095238095,0.12117365895912269,0.10633218300399427,"{'warning_confirm_volume': 16, 'hard_swing96': 4, 'stop_loss': 1}"
V14__stop_atr=8.0,1Y,22.255991685740657,-0.24655341994276858,4.3210801854912235,33,6,0.8181818181818182,0.11067153339875668,0.0998102340136185,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}"
